"appName","fileId","subId","subId2","classType","name"
"Tomcat8","16","1","0","class","ELResolver"
"Tomcat8","17","1","0","class","ELResolver"
"Tomcat8","18","1","0","class","ELResolver"
"Tomcat8","20","1","0","class","ELResolver"
"Tomcat8","20","16","0","interface","Iterator"
"Tomcat8","23","1","0","class","EventObject"
"Tomcat8","25","1","0","class","RuntimeException"
"Tomcat8","30","1","0","interface","Serializable"
"Tomcat8","33","18","0","interface","PrivilegedAction"
"Tomcat8","35","1","0","class","ELResolver"
"Tomcat8","36","1","0","class","ELResolver"
"Tomcat8","37","1","0","class","Expression"
"Tomcat8","39","1","0","class","ELException"
"Tomcat8","41","1","0","class","ELException"
"Tomcat8","42","1","0","class","ELException"
"Tomcat8","43","1","0","class","ELResolver"
"Tomcat8","44","1","0","class","ELContext"
"Tomcat8","44","17","0","class","VariableMapper"
"Tomcat8","44","18","0","class","BeanNameResolver"
"Tomcat8","44","19","0","class","FunctionMapper"
"Tomcat8","45","1","0","class","ELResolver"
"Tomcat8","46","1","0","class","ELResolver"
"Tomcat8","47","24","0","class","Wrapper"
"Tomcat8","47","25","0","class","Wrapper"
"Tomcat8","47","26","0","interface","Comparable"
"Tomcat8","47","27","0","interface","PrivilegedAction"
"Tomcat8","48","1","0","class","Expression"
"Tomcat8","49","1","0","interface","Serializable"
"Tomcat8","53","1","0","interface","MimePart"
"Tomcat8","65","1","0","class","LoginException"
"Tomcat8","67","1","0","interface","Callback"
"Tomcat8","68","1","0","interface","Callback"
"Tomcat8","69","1","0","interface","Callback"
"Tomcat8","70","1","0","interface","Callback"
"Tomcat8","71","1","0","interface","Callback"
"Tomcat8","71","11","0","interface","Request"
"Tomcat8","71","12","0","interface","Request"
"Tomcat8","71","13","0","interface","Request"
"Tomcat8","71","14","0","interface","Request"
"Tomcat8","72","1","0","interface","Callback"
"Tomcat8","72","9","0","interface","Request"
"Tomcat8","73","1","0","interface","Callback"
"Tomcat8","108","1","0","interface","Filter"
"Tomcat8","108","1","1","interface","FilterConfig"
"Tomcat8","108","1","2","interface","Serializable"
"Tomcat8","109","1","0","interface","Servlet"
"Tomcat8","109","1","1","interface","ServletConfig"
"Tomcat8","109","1","2","interface","java.io.Serializable"
"Tomcat8","110","1","0","interface","Cloneable"
"Tomcat8","110","1","1","interface","Serializable"
"Tomcat8","111","1","0","class","GenericFilter"
"Tomcat8","112","1","0","class","GenericServlet"
"Tomcat8","112","35","0","class","HttpServletResponseWrapper"
"Tomcat8","112","36","0","class","ServletOutputStream"
"Tomcat8","112","37","0","class","PrintWriter"
"Tomcat8","112","38","0","interface","AsyncListener"
"Tomcat8","121","1","0","class","HttpSessionEvent"
"Tomcat8","123","1","0","class","java.util.EventObject"
"Tomcat8","132","1","0","class","HttpConstraintElement"
"Tomcat8","133","1","0","class","Exception"
"Tomcat8","134","1","0","class","ELException"
"Tomcat8","138","1","0","class","ELResolver"
"Tomcat8","138","22","0","class","AbstractMap"
"Tomcat8","138","55","0","interface","Map.Entry"
"Tomcat8","139","1","0","class","ELResolver"
"Tomcat8","140","1","0","class","ELResolver"
"Tomcat8","141","1","0","class","ELResolver"
"Tomcat8","148","1","0","class","Exception"
"Tomcat8","151","1","0","class","JspException"
"Tomcat8","152","1","0","class","java.io.Writer"
"Tomcat8","153","1","0","class","JspContext"
"Tomcat8","154","1","0","class","JspException"
"Tomcat8","155","1","0","class","JspWriter"
"Tomcat8","166","1","0","interface","SimpleTag"
"Tomcat8","168","1","0","interface","Tag"
"Tomcat8","170","1","0","interface","Cloneable"
"Tomcat8","176","1","0","interface","IterationTag"
"Tomcat8","176","1","1","interface","Serializable"
"Tomcat8","190","1","0","class","ServletContextEvent"
"Tomcat8","192","1","0","class","java.util.EventObject"
"Tomcat8","194","1","0","class","Exception"
"Tomcat8","195","1","0","class","InputStream"
"Tomcat8","196","1","0","class","OutputStream"
"Tomcat8","199","1","0","class","ServletRequestEvent"
"Tomcat8","201","1","0","class","java.util.EventObject"
"Tomcat8","203","1","0","interface","ServletRequest"
"Tomcat8","205","1","0","interface","ServletResponse"
"Tomcat8","206","1","0","class","HttpConstraintElement"
"Tomcat8","209","1","0","class","ServletException"
"Tomcat8","211","1","0","class","java.lang.Exception"
"Tomcat8","212","1","0","class","java.lang.Exception"
"Tomcat8","213","1","0","class","java.lang.Exception"
"Tomcat8","214","1","0","class","java.rmi.RemoteException"
"Tomcat8","215","1","0","class","java.lang.Exception"
"Tomcat8","216","1","0","class","java.lang.Exception"
"Tomcat8","219","1","0","class","java.lang.Exception"
"Tomcat8","222","1","0","class","java.rmi.RemoteException"
"Tomcat8","223","1","0","class","java.rmi.RemoteException"
"Tomcat8","230","1","0","class","Exception"
"Tomcat8","232","1","0","interface","ClientEndpointConfig"
"Tomcat8","233","1","0","class","Exception"
"Tomcat8","234","1","0","class","Exception"
"Tomcat8","249","1","0","interface","ServerEndpointConfig"
"Tomcat8","255","29","0","interface","PrivilegedAction"
"Tomcat8","257","1","0","class","Exception"
"Tomcat8","262","1","0","class","AbstractCatalinaTask"
"Tomcat8","263","1","0","class","BaseRedirectorHelperTask"
"Tomcat8","263","22","0","class","Authenticator"
"Tomcat8","264","1","0","class","Task"
"Tomcat8","265","1","0","class","AbstractCatalinaCommandTask"
"Tomcat8","266","1","0","class","AbstractCatalinaTask"
"Tomcat8","267","1","0","class","AbstractCatalinaTask"
"Tomcat8","269","1","0","class","JMXAccessorConditionBase"
"Tomcat8","271","1","0","class","JMXAccessorTask"
"Tomcat8","272","1","0","class","JMXAccessorConditionBase"
"Tomcat8","273","1","0","class","JMXAccessorTask"
"Tomcat8","274","1","0","class","JMXAccessorTask"
"Tomcat8","275","1","0","class","JMXAccessorTask"
"Tomcat8","276","1","0","class","JMXAccessorTask"
"Tomcat8","277","1","0","class","BaseRedirectorHelperTask"
"Tomcat8","278","1","0","class","JMXAccessorTask"
"Tomcat8","279","1","0","class","AbstractCatalinaTask"
"Tomcat8","280","1","0","class","AbstractCatalinaTask"
"Tomcat8","281","1","0","class","AbstractCatalinaTask"
"Tomcat8","282","1","0","class","AbstractCatalinaTask"
"Tomcat8","283","1","0","class","AbstractCatalinaCommandTask"
"Tomcat8","284","1","0","class","AbstractCatalinaTask"
"Tomcat8","285","1","0","class","AbstractCatalinaTask"
"Tomcat8","286","1","0","class","AbstractCatalinaCommandTask"
"Tomcat8","287","1","0","class","AbstractCatalinaTask"
"Tomcat8","288","1","0","class","AbstractCatalinaCommandTask"
"Tomcat8","289","1","0","class","AbstractCatalinaCommandTask"
"Tomcat8","290","1","0","class","AbstractCatalinaTask"
"Tomcat8","291","1","0","class","AbstractCatalinaCommandTask"
"Tomcat8","292","1","0","class","BaseRedirectorHelperTask"
"Tomcat8","293","1","0","class","AbstractCatalinaTask"
"Tomcat8","296","1","0","class","AuthenticatorBase"
"Tomcat8","298","1","0","class","AuthenticatorBase"
"Tomcat8","299","1","0","class","AuthenticatorBase"
"Tomcat8","300","1","0","class","AuthConfigFactory"
"Tomcat8","300","35","0","interface","RegistrationContext"
"Tomcat8","300","37","0","interface","ServerAuthContext"
"Tomcat8","300","38","0","interface","ServerAuthConfig"
"Tomcat8","300","39","0","interface","AuthConfigProvider"
"Tomcat8","301","1","0","interface","CallbackHandler"
"Tomcat8","301","1","1","interface","Contained"
"Tomcat8","302","1","0","interface","MessageInfo"
"Tomcat8","304","1","0","interface","AuthConfigProvider"
"Tomcat8","305","1","0","interface","ServerAuthConfig"
"Tomcat8","306","1","0","interface","ServerAuthContext"
"Tomcat8","307","1","0","class","AuthenticatorBase"
"Tomcat8","309","1","0","class","ValveBase"
"Tomcat8","310","1","0","interface","Serializable"
"Tomcat8","311","1","0","interface","SessionListener"
"Tomcat8","311","1","1","interface","Serializable"
"Tomcat8","312","1","0","interface","Serializable"
"Tomcat8","313","1","0","class","AuthenticatorBase"
"Tomcat8","313","20","0","interface","PrivilegedExceptionAction"
"Tomcat8","313","21","0","interface","PrivilegedAction"
